,index,id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted,enjoyment,shortcap
120,97,18284822017107281,2023-03-22,2,Weds,170,15,0,167,1,1,17,https://www.instagram.com/reel/CqGd4jJL5kE/,"Matcha Caramel Heaven ☁️☁️☁️

-matcha
-hot water
-ice
-milk
-salted caramel sauce
-salt
-heavy cream

#matchalatte
#saltedcaramel
#matchaaddict
#greentealatte
#matchamoment
#latteart
#coffeeholic
#tealover
#foamy
#sweethappiness
#drinkstagram
#cozyvibes
#caffeinefix
#saltedcaramelmatcha
#sweetandbitter
#matchalove",16,18,8.823529411764707,Matcha Caramel Heaven ☁️☁
122,98,17962944191347354,2023-03-31,4,Fri,193,21,0,184,0,0,21,https://www.instagram.com/reel/CqeJECPrBAq/,"A cocktail that’s equal parts spicy, sweet, and smooth 😍🔥☕️🍹

-almond milk
-fireball
-espresso flavored rum
-rum
-cinammon
-ice

#cocktailhour
#spicycocktail
#rumlover
#espressoflavoredrum
#almondmilk
#cinnamoncocktail
#fireballwhiskey
#drinkstagram
#happyhour
#cheers
#cozycocktail
#fallcocktails
#mixology
#drinks
#bartenderlife
#drinkup
#wintercocktail
#cocktailoftheday",18,23,10.880829015544041,A cocktail that’s equal p
123,99,18134956240294499,2023-04-01,5,Sat,258,64,0,244,1,0,65,https://www.instagram.com/reel/CqgYKsvsuVx/,Simple pleasures ☕️❤️ #coffeeholic #lattegram,2,19,24.8062015503876,Simple pleasures ☕️❤️ #co
124,100,18086065984333653,2023-04-02,6,Sun,456,122,0,441,0,0,122,https://www.instagram.com/reel/CqigVndPEPa/,"Starting my day with a  fresh cup of coffee and the mesmerizing bloom☕️🌸 

#coffeebloom #coffeelover #coffeeholic",3,15,26.75438596491228,Starting my day with a  f
126,101,17959727399433274,2023-04-05,2,Weds,633,196,2,634,3,0,201,https://www.instagram.com/reel/CqqPs-EMUx1/,Add some sweetness to your day with this condensed milk latte that will warm your soul and your taste buds 🔥☕️ #coffeeislife #coffeelover #latteartporn,3,15,30.963665086887836,Add some sweetness to you
128,102,18183708352262536,2023-04-09,6,Sun,1491,391,0,1489,2,0,393,https://www.instagram.com/reel/Cq0Vv7Pu0m8/,"Coconut milk and matcha - the power couple you never knew you needed. Creamy, dreamy, and packed with antioxidants💚🥥

 #matchamademedoit #coconuttygoodness #lattegoals #antioxidantpowerhouse",4,13,26.22401073105298,Coconut milk and matcha -
130,103,18247586293158098,2023-04-13,3,Thurs,139,18,0,136,0,1,19,https://www.instagram.com/reel/Cq9pkIcvQ_z/,"Just when you thought matcha couldn’t get any better... brown sugar syrup happens 🤩🍵

#matchalatte
#brownsugarsyrup
#matchalover
#greentealatte
#matchaholic
#matchamoment
#coffeetime
#cofeefaddict
#teatime
#drinkstagram
#instadrink
#drinkup
#beverage
#caffeinefix
#sweettreat
#yum
#delicious
#foodie
#foodporn
#healthydrink",20,04,12.949640287769784,Just when you thought mat
131,104,17981292088988287,2023-04-13,3,Thurs,261,25,0,250,0,0,25,https://www.instagram.com/reel/CrHNQqQLHWh/,"You can never go wrong with a classic gin and tonic, but add some strawberries and mint and you have a game changer 🍓🌿🍹

-strawberry infused gin
-lime juice
-ice
-strawberries
- @fevertreemixers tonic water
-top with mint

#ginandtonic
#strawberrymint
#summervibes
#cocktailtime
#drinksofinstagram
#ginlovers
#mixology
#drinkup
#instacocktails
#happyhour
#cheers
#refreshing
#cocktailhour
#bartenderlife
#drinkporn
#cocktailrecipe
#homebartender
#drinkstagram
#imbibe
#ginoclock",20,19,9.578544061302683,You can never go wrong wi
135,105,17963306345398126,2023-04-28,4,Fri,12801,166,0,12784,2,0,168,https://www.instagram.com/reel/CrluUUFPdib/,"Why choose between coffee and matcha when you can have both in one epic drink? 🙌☕🍵 - a match made in heaven 💚☕

-coffe jello peices
-simple syrup
-ice
-milk
-matcha poweder
-hot water

#coffeejello
#matchalatte
#coffeeandmatcha
#drinkcombos
#caffeinefix
#dessertforbreakfast
#sweettreats
#coffeeholic
#matchalover
#foodphotography
#foodie
#drinkstagram
#coffeegram
#matchagram
#foodstagram
#drinkoftheday
#yummy
#foodporn",18,18,1.2967736895555035,Why choose between coffee
138,106,17958031079267698,2023-05-06,5,Sat,187,17,0,181,0,0,17,https://www.instagram.com/reel/Cr6JlpiLHGX/,"Who knew a latte could be so nutty and delicious! 😋☕🌰💚

-pistachios
-water
-milk
-simple syrup
-ice
-coffee

#pistachiolatte
#nuttygoodness
#coffeeaddict
#latteart
#baristalife
#coffeelover
#morningcoffee
#warmdrinks
#coffeeholic
#coffeebreak
#caffeinefix
#nuttycoffee
#deliciousdrinks
#cozyvibes
#drinksofinstagram
#tastytreats
#coffeeoftheday
#yum",18,16,9.090909090909092,Who knew a latte could be
139,107,17958989147244495,2023-05-12,4,Fri,126,17,0,121,0,0,17,https://www.instagram.com/reel/CsH9uUUrAqQ/,"A smoky and sophisticated sip 🥃🔥👌 This cocktail made with smoked applewood and whiskey is perfect for any occasion where you want to impress your taste buds.

#SmokedCocktail #WhiskeyDrink #Applewood #CraftCocktail #Mixology #DrinkUp #Cheers #WeekendVibes #Instadrink #Drinkporn #BartenderLife #Sophisticated #Flavorful #TasteBuds",14,01,13.492063492063492,A smoky and sophisticated
140,108,18290728420185875,2023-05-14,6,Sun,13424,158,1,13370,8,7,174,https://www.instagram.com/reel/CsPHL1yO97I/,"Aperol spritz 🍊🔸

-aperol
-prosecco
- @drinkspindrift grapefruit sparkling water 

#aperol #aperolspritz #cocktails #fy #miami #f",6,20,1.1769964243146602,"Aperol spritz 🍊🔸

-aperol"
143,109,17994929696016771,2023-07-16,6,Sun,166,22,1,159,0,0,23,https://www.instagram.com/reel/Cuw0FugLui_/,"🌈sip, sing, and taste the magic of colorful gin’n’tonic with pitaya🎶✨

-ice
- @empress1908gin 
-lime juice
-pitaya
- @fevertreemixers tonic water

#gin #gintonic #fevertree #cocktails #yumm",5,15,13.253012048192772,"🌈sip, sing, and taste the"
