,index,id,timestamp,date,time,my dates,num_day_of_week,day_of_week,impressions,engagement,reach,saved,permalink,caption,hashtags,hour posted,likes,comments,shortcap
0,0,18073354111271198,2021-03-21T03:06:58+0000,2021-03-21,03:06:58+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/p/CMqkPXtBQTs/,"Berry Margarita

#berrymargarita #blueberrymargarita #strawberrymargarita #margarita #tequila #tequilatime #margaritaday #drinks #drinkstagram #galulab #mixology #mixologista #bartender",13,03,137,2,"Berry Margarita

#berryma"
1,1,17924763499527258,2021-03-21T03:11:11+0000,2021-03-21,03:11:11+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/p/CMqkuOpBX0G/,"Matcha Latte 

#matcha #matchalatte #matchalover #matchagreentea #morningmotivation #morningvibes #drinks #drinkstagram #galulab #mixology #mixologista #bartender #caffeine #caffeineaddict #matchatea #latte",16,03,141,0,"Matcha Latte 

#matcha #m"
2,2,17899694494848081,2021-03-21T03:18:34+0000,2021-03-21,03:18:34+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/p/CMqlkQjh6fS/,"Whisky Sour

#whiskey #whisky #whiskeygram #whiskeylover #whiskysour #whiskysourtime #its5oclocksomewhere #drinks #drinkstagram #galulab #mixology #mixologista #bartender",13,03,148,2,"Whisky Sour

#whiskey #wh"
3,3,17872672535264962,2021-03-21T03:19:54+0000,2021-03-21,03:19:54+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/p/CMqluGUhjoJ/,"Mango Margarita 

#mangomargarita #mangomargaritas #margarita #margaritaday #its5oclocksomewhere #drinks #drinkstagram #galulab #mixology #mixologista #bartender #tequila #tequilashots #tequilatime #its5oclocksomewhere🍹",15,03,151,3,"Mango Margarita 

#mangom"
4,4,17886434153078688,2021-03-21T04:17:22+0000,2021-03-21,04:17:22+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/reel/CMqsQUNhia9/,"Moscow Mule 🐴 🌱

#moscow #moscowmule #mule #drinks #its5oclocksomewhere #drinks #drinkstagram #galulab #mixology #mixologista #bartender #mint #gingerbeer #vodka #vodkadrinks #crownrusse",16,04,177,4,"Moscow Mule 🐴 🌱

#moscow "
5,5,17955434395413882,2021-03-21T16:22:44+0000,2021-03-21,16:22:44+0000,2021-03-21,6,Sun,0,0,0,0,https://www.instagram.com/reel/CMr_Sh1h85S/,"Brown Sugar Cinnamon Latte

@cafehaciendacarolina #galulab #latte #brownsugar #cinamon #brownsugarlatte #brownsugarlove #lattelove #latteartgram #coffee #coffeelover #coffeetime #haciendacarolina #coffeeaddict",13,16,161,1,Brown Sugar Cinnamon Latt
6,6,17844210005552015,2021-03-22T12:51:05+0000,2021-03-22,12:51:05+0000,2021-03-22,0,Mon,0,0,0,0,https://www.instagram.com/reel/CMuL3aNhA9N/,Salted Cream Cold Brew,0,12,187,8,Salted Cream Cold Brew
7,7,18204748156028373,2021-03-23T16:10:41+0000,2021-03-23,16:10:41+0000,2021-03-23,1,Tues,0,0,0,0,https://www.instagram.com/p/CMxHhLahRuM/,"Iced Latte

#galulab #icedcoffee #icedcoffeeaddict #icedlatte #icedlatteaddict #coffeeheaven #coffee #coffeelover #coffeetime #espresso #barista #baristalife #coffeelovers",13,16,238,7,"Iced Latte

#galulab #ice"
8,8,18172456429102569,2021-03-24T23:06:20+0000,2021-03-24,23:06:20+0000,2021-03-24,2,Weds,0,0,0,0,https://www.instagram.com/p/CM0b4XkBu5J/,"Tea Time 🫖 🍵 

#greentea #galulab #tea #teatime #tealover #tealoversofinstagram #teasofinstagra #greentealover",8,23,155,0,"Tea Time 🫖 🍵 

#greentea "
10,9,18171056482101462,2021-03-26T11:26:27+0000,2021-03-26,11:26:27+0000,2021-03-26,4,Fri,35,166,32,1,https://www.instagram.com/p/CM4VF5gBr0H/,"🥭 🍹 

#mango #mangonada #mangotequila #tequila #mixology #bartender #bartenderlife #margarita #margaritaday #mangomargarita #tequilacocktails #mangococktail",12,11,159,6,"🥭 🍹 

#mango #mangonada #"
11,10,17940346606466721,2021-03-27T14:38:56+0000,2021-03-27,14:38:56+0000,2021-03-27,5,Sat,75,166,72,1,https://www.instagram.com/p/CM7QMu4BVbj/,"Butterfly Pea Flower Tea 🦋 

#butterflypeaflower #butterflypeatea #butterflypeaflowertea #tea #teatime #tealover #teaofinstagram #teaoftheday #teaobsessed #galulab",10,14,164,1,Butterfly Pea Flower Tea 
12,11,17937044905482837,2021-03-29T12:33:45+0000,2021-03-29,12:33:45+0000,2021-03-29,0,Mon,67,191,62,4,https://www.instagram.com/p/CNALdhRhvog/,"Butterfly Pea Tea Latte 🦋

#latte #milklab #butterflypeaflower #butterflypeatea #tea #latteartgram #teaofinstagram #teas #lattegram #galulab",10,12,185,2,Butterfly Pea Tea Latte 🦋
21,12,17883630251099177,2021-04-07T12:42:35+0000,2021-04-07,12:42:35+0000,2021-04-07,2,Weds,27,165,25,1,https://www.instagram.com/p/CNXXoIKLVg6/,"Rum 🧊 

#galulab #flordecaña #flordecana #rum #rumlovers #mixology #liquor",7,12,163,1,"Rum 🧊 

#galulab #flordec"
